Code,Name,year2013im,year2014im,year2015im,year2016im,year2013ex,year2015ex
AST,Астраханская область,10760.0,6000.0,0.0,0.0,0.0,0.0
BA,Республика Башкортостан,3141.86,0.0,319.74,282.84,0.0,0.0
CHE,Челябинская область,283.75,0.0,130.58,0.0,0.0,0.0
CHU,Чукотский автономный округ,13633.14,9993.67,0.0,0.0,0.0,0.0
DA,Республика Дагестан,148.57,0.0,0.0,0.0,0.0,0.0
IRK,Иркутская область,484.57,9138.75,2285.71,0.0,0.0,0.0
KDA,Краснодарский край,1461.97,0.0,0.0,0.0,29326.02,0.0
KEM,Кемеровская область,3763.48,0.0,0.0,0.0,0.0,0.0
KGD,Калининградская область,54207.79,51870.09,1909.69,0.0,0.0,0.0
KIR,Кировская область,0.0,2004.16,0.0,0.0,0.0,0.0
KLU,Калужская область,0.0,171.44,0.0,0.0,0.0,0.0
KR,Республика Карелия,0.0,0.0,0.0,0.0,0.0,36.99
KYA,Красноярский край,17878.48,0.0,3261.06,0.0,0.0,0.0
LEN,Ленинградская область,172914.12,70887.8,23733.46,9113.64,0.0,0.0
MAG,Магаданская область,19323.85,2180.15,0.0,0.0,0.0,0.0
MOS,Московская область,13430.31,5127.38,4778.61,854.03,0.0,0.0
MOW,Москва,16784.03,223.04,3342.0,388.68,0.0,0.0
MUR,Мурманская область,19336.84,14260.36,2622.69,0.0,0.0,0.0
NIZ,Нижегородская область,3042.93,3703.81,1773.1,0.0,0.0,0.0
ORE,Оренбургская область,0.0,2000.0,0.0,0.0,0.0,0.0
PNZ,Пензенская область,2758.27,0.0,0.0,0.0,0.0,0.0
PRI,Приморский край,0.0,655.95,0.0,0.0,0.0,0.0
PSK,Псковская область,5284.46,2271.56,575.01,64.37,0.0,0.0
SAK,Сахалинская область,6343.59,29734.83,43574.01,0.0,0.0,0.0
SAM,Самарская область,702.28,3662.95,0.0,0.0,0.0,0.0
SPB,Санкт-Петербург,13435.42,516.03,389.76,0.0,0.0,0.0
STA,Ставропольский край,151.86,201.98,121.63,61.52,0.0,0.0
SVE,Свердловская область,20697.81,4247.07,4031.43,0.0,0.0,0.0
TA,Республика Татарстан,584.68,0.0,0.0,0.0,0.0,0.0
TYU,Тюменская область,23908.13,21374.6,1660.0,4532.13,0.0,0.0
VGG,Волгоградская область,0.0,3554.84,0.0,0.0,0.0,0.0
VOR,Воронежская область,0.0,288.04,0.0,0.0,0.0,0.0
ZAB,Забайкальский край,33375.32,11226.22,2465.41,4304.22,0.0,0.0
